epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,176.75,0.44394,0.44962,0.8809,0.99556,1,0.995,0.88088,0.54098,0.38752,0.6606,0.000610789,0.000610789,0.000610789
66,178.716,0.44828,0.46205,0.8848,0.99595,1,0.995,0.90257,0.46487,0.36806,0.65913,0.000594286,0.000594286,0.000594286
67,180.849,0.41664,0.46375,0.8922,0.99354,1,0.995,0.92776,0.409,0.35899,0.66308,0.000577782,0.000577782,0.000577782
68,184.054,0.42101,0.43089,0.88106,0.99246,1,0.995,0.91817,0.44327,0.35105,0.66571,0.000561279,0.000561279,0.000561279
69,187.564,0.38096,0.40585,0.87114,0.99242,1,0.995,0.90495,0.45102,0.33939,0.65556,0.000544776,0.000544776,0.000544776
70,189.999,0.38493,0.42463,0.87193,0.99339,1,0.995,0.91421,0.40556,0.33287,0.65046,0.000528272,0.000528272,0.000528272
71,192.026,0.43263,0.45472,0.87295,0.99471,1,0.995,0.93908,0.3458,0.32754,0.64862,0.000511769,0.000511769,0.000511769
72,194.175,0.38725,0.42075,0.86479,0.9964,1,0.995,0.96163,0.32313,0.32387,0.65009,0.000495266,0.000495266,0.000495266
73,196.363,0.36376,0.39433,0.8736,0.99661,1,0.995,0.93754,0.35499,0.32262,0.65167,0.000478762,0.000478762,0.000478762
74,198.856,0.39693,0.43948,0.89184,0.99675,1,0.995,0.9296,0.38407,0.30659,0.64887,0.000462259,0.000462259,0.000462259
75,202.022,0.37483,0.40032,0.86163,0.99668,1,0.995,0.93809,0.36974,0.28882,0.647,0.000445756,0.000445756,0.000445756
76,205.468,0.37188,0.39209,0.85803,0.99665,1,0.995,0.93442,0.35814,0.28634,0.64414,0.000429253,0.000429253,0.000429253
77,207.519,0.39558,0.43744,0.8793,0.99618,1,0.995,0.92328,0.38473,0.28904,0.64518,0.000412749,0.000412749,0.000412749
